Year Published,Unit Code,Unit Name,Item,Item Description,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2011 Target,2013 Target
FY2013,1A1-NA-NA0-433,"Equal Oppor & Access, Ofc of",2590,  Gifts & Endwmnt Exp (000) ,,-15,-23,9,34,-53,9,2,17,7,,
FY2013,1A1-NA-NA0-433,"Equal Oppor & Access, Ofc of",2594,    Gifts Exp         (000) ,,-15,-23,9,34,-53,9,2,17,7,,
FY2013,1A1-NA-NA0-433,"Equal Oppor & Access, Ofc of",2596,    Endowment Exp     (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-433,"Equal Oppor & Access, Ofc of",2610,  SelfS/FWS/LandGr Exp(000) ,,2,0,0,80,4,0,0,0,0,,
FY2013,1A1-NA-NA0-433,"Equal Oppor & Access, Ofc of",2614,    Self-Supportng Exp(000) ,,0,0,0,80,3,0,0,0,0,,
FY2013,1A1-NA-NA0-433,"Equal Oppor & Access, Ofc of",2616,    Fed Work Study Exp(000) ,,2,0,0,0,1,0,0,0,0,,
FY2013,1A1-NA-NA0-433,"Equal Oppor & Access, Ofc of",2617,    Land Grant App Exp(000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-664,Division of Public Safety,2000,Orig State/Tuition Bdgt(000) ,4988,4542,3663,3801,3180,3122,3016,2831,2763,2670,,
FY2013,1A1-NA-NA0-664,Division of Public Safety,2015,  St Budget - Constant $000 ,2131,1996,1657,1754,1481,1475,1478,1422,1441,1435,,
FY2013,1A1-NA-NA0-664,Division of Public Safety,2050,    Acad Salary Budget ,260,182,171,269,269,268,257,191,181,172,,
FY2013,1A1-NA-NA0-664,Division of Public Safety,2060,    Asst Salary Budget ,0,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-664,Division of Public Safety,2070,    Non-Ac Salaries Budget ,2685,276,268,268,266,263,257,249,241,234,,
FY2013,1A1-NA-NA0-664,Division of Public Safety,2080,    Wage Budget ,2043,3588,2727,2807,2189,2165,2117,2027,1978,1901,,
FY2013,1A1-NA-NA0-664,Division of Public Safety,2090,    Summer Wages Budget ,0,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-664,Division of Public Safety,2100,    Expense & Equip Bdgt ,0,496,496,456,456,426,386,363,363,363,,
FY2013,1A1-NA-NA0-664,Division of Public Safety,2530,  State/Tuition Exp   (000) ,,6062,5794,5621,5406,4932,4392,4427,4377,4102,,
FY2013,1A1-NA-NA0-664,Division of Public Safety,2533,    State/TuitExp - NACUBO ,,,,,,,,,,,,
FY2013,1A1-NA-NA0-664,Division of Public Safety,2534,      Instruction     (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-664,Division of Public Safety,2535,      Research        (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-664,Division of Public Safety,2536,      Public Service  (000) ,,2,0,3,0,0,1,0,0,0,,
FY2013,1A1-NA-NA0-664,Division of Public Safety,2537,      Academic Support(000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-664,Division of Public Safety,2538,      Student Svcs    (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-664,Division of Public Safety,2539,      Institutl Supprt(000) ,,6060,5794,5618,5406,4931,4392,4426,4377,4101,,
FY2013,1A1-NA-NA0-664,Division of Public Safety,2540,      O&M of Plant    (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-664,Division of Public Safety,2541,      Schol&Fellwshps (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-664,Division of Public Safety,2542,      Other NACUBOs   (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-664,Division of Public Safety,2550,  Institutional Exp   (000) ,,66,-14,-49,-11,-28,-14,-302,-37,-75,,
FY2013,1A1-NA-NA0-664,Division of Public Safety,2553,    ICR Direct Exp    (000) ,,0,2,-2,0,0,0,,0,0,,
FY2013,1A1-NA-NA0-664,Division of Public Safety,2554,    Royalty/Patent Exp(000) ,,0,0,0,0,0,0,,0,0,,
FY2013,1A1-NA-NA0-664,Division of Public Safety,2555,    Educ/Admn Allw Exp(000) ,,66,-16,-46,-11,-28,-14,,-37,-75,,
FY2013,1A1-NA-NA0-664,Division of Public Safety,2570,  Grants & Contr Exp  (000) ,,213,157,118,153,120,32,235,0,0,,
FY2013,1A1-NA-NA0-664,Division of Public Safety,2573,    G&C Federal Exp   (000) ,,213,154,118,153,112,0,0,0,0,,
FY2013,1A1-NA-NA0-664,Division of Public Safety,2574,    G&C Illinois Exp  (000) ,,0,0,0,0,0,32,0,0,0,,
FY2013,1A1-NA-NA0-664,Division of Public Safety,2575,    G&C Pvt & Othr Exp(000) ,,0,2,-1,0,8,0,235,0,0,,
FY2013,1A1-NA-NA0-664,Division of Public Safety,2590,  Gifts & Endwmnt Exp (000) ,,17,2,3,6,-6,0,6,-6,10,,
FY2013,1A1-NA-NA0-664,Division of Public Safety,2594,    Gifts Exp         (000) ,,17,2,3,6,-6,0,6,-6,10,,
FY2013,1A1-NA-NA0-664,Division of Public Safety,2596,    Endowment Exp     (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-664,Division of Public Safety,2610,  SelfS/FWS/LandGr Exp(000) ,,42,16,-3,13,-21,122,90,133,100,,
FY2013,1A1-NA-NA0-664,Division of Public Safety,2614,    Self-Supportng Exp(000) ,,42,16,-5,13,-21,122,90,133,100,,
FY2013,1A1-NA-NA0-664,Division of Public Safety,2616,    Fed Work Study Exp(000) ,,0,0,1,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-664,Division of Public Safety,2617,    Land Grant App Exp(000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-693,Willard Airport Comm Oper,2000,Orig State/Tuition Bdgt(000) ,438,440,433,433,433,433,439,434,426,449,,
FY2013,1A1-NA-NA0-693,Willard Airport Comm Oper,2015,  St Budget - Constant $000 ,187,193,196,200,202,205,215,218,222,241,,
FY2013,1A1-NA-NA0-693,Willard Airport Comm Oper,2050,    Acad Salary Budget ,74,72,180,69,189,186,273,272,269,257,,
FY2013,1A1-NA-NA0-693,Willard Airport Comm Oper,2060,    Asst Salary Budget ,0,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-693,Willard Airport Comm Oper,2070,    Non-Ac Salaries Budget ,327,322,206,318,222,231,166,162,156,192,,
FY2013,1A1-NA-NA0-693,Willard Airport Comm Oper,2080,    Wage Budget ,38,47,46,46,22,16,0,0,0,0,,
FY2013,1A1-NA-NA0-693,Willard Airport Comm Oper,2090,    Summer Wages Budget ,0,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-693,Willard Airport Comm Oper,2100,    Expense & Equip Bdgt ,0,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-693,Willard Airport Comm Oper,2530,  State/Tuition Exp   (000) ,,441,447,569,446,432,447,424,448,439,,
FY2013,1A1-NA-NA0-693,Willard Airport Comm Oper,2533,    State/TuitExp - NACUBO ,,,,,,,,,,,,
FY2013,1A1-NA-NA0-693,Willard Airport Comm Oper,2534,      Instruction     (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-693,Willard Airport Comm Oper,2535,      Research        (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-693,Willard Airport Comm Oper,2536,      Public Service  (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-693,Willard Airport Comm Oper,2537,      Academic Support(000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-693,Willard Airport Comm Oper,2538,      Student Svcs    (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-693,Willard Airport Comm Oper,2539,      Institutl Supprt(000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-693,Willard Airport Comm Oper,2540,      O&M of Plant    (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-693,Willard Airport Comm Oper,2541,      Schol&Fellwshps (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-693,Willard Airport Comm Oper,2542,      Other NACUBOs   (000) ,,441,447,569,446,432,447,424,448,439,,
FY2013,1A1-NA-NA0-693,Willard Airport Comm Oper,2550,  Institutional Exp   (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-693,Willard Airport Comm Oper,2553,    ICR Direct Exp    (000) ,,,,,,,,,,,,
FY2013,1A1-NA-NA0-693,Willard Airport Comm Oper,2554,    Royalty/Patent Exp(000) ,,,,,,,,,,,,
FY2013,1A1-NA-NA0-693,Willard Airport Comm Oper,2555,    Educ/Admn Allw Exp(000) ,,,,,,,,,,,,
FY2013,1A1-NA-NA0-693,Willard Airport Comm Oper,2570,  Grants & Contr Exp  (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-693,Willard Airport Comm Oper,2573,    G&C Federal Exp   (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-693,Willard Airport Comm Oper,2574,    G&C Illinois Exp  (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-693,Willard Airport Comm Oper,2575,    G&C Pvt & Othr Exp(000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-693,Willard Airport Comm Oper,2590,  Gifts & Endwmnt Exp (000) ,,0,6,8,0,0,5,10,1,1,,
FY2013,1A1-NA-NA0-693,Willard Airport Comm Oper,2594,    Gifts Exp         (000) ,,0,6,8,0,0,5,10,1,1,,
FY2013,1A1-NA-NA0-693,Willard Airport Comm Oper,2596,    Endowment Exp     (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-693,Willard Airport Comm Oper,2610,  SelfS/FWS/LandGr Exp(000) ,,1933,2172,1655,1964,3214,2160,2374,2117,2295,,
FY2013,1A1-NA-NA0-693,Willard Airport Comm Oper,2614,    Self-Supportng Exp(000) ,,1933,2172,1655,1964,3214,2160,2374,2117,2295,,
FY2013,1A1-NA-NA0-693,Willard Airport Comm Oper,2616,    Fed Work Study Exp(000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-693,Willard Airport Comm Oper,2617,    Land Grant App Exp(000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-700,Office of the Chancellor,2000,Orig State/Tuition Bdgt(000) ,2568,2498,2527,2663,2608,2739,2548,1839,1745,1805,,
FY2013,1A1-NA-NA0-700,Office of the Chancellor,2015,  St Budget - Constant $000 ,1097,1097,1143,1229,1215,1294,1248,924,910,970,,
FY2013,1A1-NA-NA0-700,Office of the Chancellor,2050,    Acad Salary Budget ,1606,1578,1616,1864,1809,1637,1486,1117,1104,1056,,
FY2013,1A1-NA-NA0-700,Office of the Chancellor,2060,    Asst Salary Budget ,0,0,0,0,0,4,4,12,23,23,,
FY2013,1A1-NA-NA0-700,Office of the Chancellor,2070,    Non-Ac Salaries Budget ,616,582,573,573,573,560,520,370,424,412,,
FY2013,1A1-NA-NA0-700,Office of the Chancellor,2080,    Wage Budget ,0,0,0,0,0,0,0,0,-135,32,,
FY2013,1A1-NA-NA0-700,Office of the Chancellor,2090,    Summer Wages Budget ,0,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-700,Office of the Chancellor,2100,    Expense & Equip Bdgt ,346,337,337,225,225,537,537,340,329,283,,
FY2013,1A1-NA-NA0-700,Office of the Chancellor,2530,  State/Tuition Exp   (000) ,,2689,2532,2504,2942,2828,2714,2173,1905,1539,,
FY2013,1A1-NA-NA0-700,Office of the Chancellor,2533,    State/TuitExp - NACUBO ,,,,,,,,,,,,
FY2013,1A1-NA-NA0-700,Office of the Chancellor,2534,      Instruction     (000) ,,0,0,0,0,0,0,0,0,1,,
FY2013,1A1-NA-NA0-700,Office of the Chancellor,2535,      Research        (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-700,Office of the Chancellor,2536,      Public Service  (000) ,,0,0,0,0,0,0,127,248,174,,
FY2013,1A1-NA-NA0-700,Office of the Chancellor,2537,      Academic Support(000) ,,0,0,0,0,0,113,1,0,0,,
FY2013,1A1-NA-NA0-700,Office of the Chancellor,2538,      Student Svcs    (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-700,Office of the Chancellor,2539,      Institutl Supprt(000) ,,2689,2532,2504,2942,2828,2601,2045,1657,1364,,
FY2013,1A1-NA-NA0-700,Office of the Chancellor,2540,      O&M of Plant    (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-700,Office of the Chancellor,2541,      Schol&Fellwshps (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-700,Office of the Chancellor,2542,      Other NACUBOs   (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-700,Office of the Chancellor,2550,  Institutional Exp   (000) ,,148,125,178,382,436,635,746,351,472,,
FY2013,1A1-NA-NA0-700,Office of the Chancellor,2553,    ICR Direct Exp    (000) ,,146,121,172,370,400,331,673,328,436,,
FY2013,1A1-NA-NA0-700,Office of the Chancellor,2554,    Royalty/Patent Exp(000) ,,0,0,1,9,0,0,0,0,0,,
FY2013,1A1-NA-NA0-700,Office of the Chancellor,2555,    Educ/Admn Allw Exp(000) ,,3,5,6,3,36,305,73,23,36,,
FY2013,1A1-NA-NA0-700,Office of the Chancellor,2570,  Grants & Contr Exp  (000) ,,-1,51,121,102,106,92,0,0,0,,
FY2013,1A1-NA-NA0-700,Office of the Chancellor,2573,    G&C Federal Exp   (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-700,Office of the Chancellor,2574,    G&C Illinois Exp  (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-700,Office of the Chancellor,2575,    G&C Pvt & Othr Exp(000) ,,-1,51,121,102,106,92,0,0,0,,
FY2013,1A1-NA-NA0-700,Office of the Chancellor,2590,  Gifts & Endwmnt Exp (000) ,,2415,721,3769,1580,-4060,1331,670,721,756,,
FY2013,1A1-NA-NA0-700,Office of the Chancellor,2594,    Gifts Exp         (000) ,,2415,721,3769,1317,-4389,1104,443,721,489,,
FY2013,1A1-NA-NA0-700,Office of the Chancellor,2596,    Endowment Exp     (000) ,,0,0,0,263,329,227,227,0,267,,
FY2013,1A1-NA-NA0-700,Office of the Chancellor,2610,  SelfS/FWS/LandGr Exp(000) ,,321,184,20,22,54,2,5,0,0,,
FY2013,1A1-NA-NA0-700,Office of the Chancellor,2614,    Self-Supportng Exp(000) ,,321,184,20,22,54,2,5,0,0,,
FY2013,1A1-NA-NA0-700,Office of the Chancellor,2616,    Fed Work Study Exp(000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-700,Office of the Chancellor,2617,    Land Grant App Exp(000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA1-380,Business Innovation Services,2000,Orig State/Tuition Bdgt(000) ,,,,,,,,,,,,
FY2013,1A1-NA-NA1-380,Business Innovation Services,2015,  St Budget - Constant $000 ,,,,,,,,,,,,
FY2013,1A1-NA-NA1-380,Business Innovation Services,2050,    Acad Salary Budget ,,,,,,,,,,,,
FY2013,1A1-NA-NA1-380,Business Innovation Services,2060,    Asst Salary Budget ,,,,,,,,,,,,
FY2013,1A1-NA-NA1-380,Business Innovation Services,2070,    Non-Ac Salaries Budget ,,,,,,,,,,,,
FY2013,1A1-NA-NA1-380,Business Innovation Services,2080,    Wage Budget ,,,,,,,,,,,,
FY2013,1A1-NA-NA1-380,Business Innovation Services,2090,    Summer Wages Budget ,,,,,,,,,,,,
FY2013,1A1-NA-NA1-380,Business Innovation Services,2100,    Expense & Equip Bdgt ,,,,,,,,,,,,
FY2013,1A1-NA-NA1-380,Business Innovation Services,2530,  State/Tuition Exp   (000) ,,0,0,,,,,,,,,
FY2013,1A1-NA-NA1-380,Business Innovation Services,2533,    State/TuitExp - NACUBO ,,,,,,,,,,,,
FY2013,1A1-NA-NA1-380,Business Innovation Services,2534,      Instruction     (000) ,,0,0,,,,,,,,,
FY2013,1A1-NA-NA1-380,Business Innovation Services,2535,      Research        (000) ,,0,0,,,,,,,,,
FY2013,1A1-NA-NA1-380,Business Innovation Services,2536,      Public Service  (000) ,,0,0,,,,,,,,,
FY2013,1A1-NA-NA1-380,Business Innovation Services,2537,      Academic Support(000) ,,0,0,,,,,,,,,
FY2013,1A1-NA-NA1-380,Business Innovation Services,2538,      Student Svcs    (000) ,,0,0,,,,,,,,,
FY2013,1A1-NA-NA1-380,Business Innovation Services,2539,      Institutl Supprt(000) ,,0,0,,,,,,,,,
FY2013,1A1-NA-NA1-380,Business Innovation Services,2540,      O&M of Plant    (000) ,,0,0,,,,,,,,,
FY2013,1A1-NA-NA1-380,Business Innovation Services,2541,      Schol&Fellwshps (000) ,,0,0,,,,,,,,,
FY2013,1A1-NA-NA1-380,Business Innovation Services,2542,      Other NACUBOs   (000) ,,0,0,,,,,,,,,
FY2013,1A1-NA-NA1-380,Business Innovation Services,2550,  Institutional Exp   (000) ,,72,0,,,,,,,,,
FY2013,1A1-NA-NA1-380,Business Innovation Services,2553,    ICR Direct Exp    (000) ,,,0,,,,,,,,,
FY2013,1A1-NA-NA1-380,Business Innovation Services,2554,    Royalty/Patent Exp(000) ,,,0,,,,,,,,,
FY2013,1A1-NA-NA1-380,Business Innovation Services,2555,    Educ/Admn Allw Exp(000) ,,,0,,,,,,,,,
FY2013,1A1-NA-NA1-380,Business Innovation Services,2570,  Grants & Contr Exp  (000) ,,2153,1071,,,,,,,,,
FY2013,1A1-NA-NA1-380,Business Innovation Services,2573,    G&C Federal Exp   (000) ,,0,0,,,,,,,,,
FY2013,1A1-NA-NA1-380,Business Innovation Services,2574,    G&C Illinois Exp  (000) ,,2136,614,,,,,,,,,
FY2013,1A1-NA-NA1-380,Business Innovation Services,2575,    G&C Pvt & Othr Exp(000) ,,18,457,,,,,,,,,
FY2013,1A1-NA-NA1-380,Business Innovation Services,2590,  Gifts & Endwmnt Exp (000) ,,10,-10,,,,,,,,,
FY2013,1A1-NA-NA1-380,Business Innovation Services,2594,    Gifts Exp         (000) ,,10,-10,,,,,,,,,
FY2013,1A1-NA-NA1-380,Business Innovation Services,2596,    Endowment Exp     (000) ,,0,0,,,,,,,,,
FY2013,1A1-NA-NA1-380,Business Innovation Services,2610,  SelfS/FWS/LandGr Exp(000) ,,3335,11,,,,,,,,,
FY2013,1A1-NA-NA1-380,Business Innovation Services,2614,    Self-Supportng Exp(000) ,,3335,11,,,,,,,,,
FY2013,1A1-NA-NA1-380,Business Innovation Services,2616,    Fed Work Study Exp(000) ,,0,0,,,,,,,,,
FY2013,1A1-NA-NA1-380,Business Innovation Services,2617,    Land Grant App Exp(000) ,,0,0,,,,,,,,,
FY2013,1A1-NA-NA1-508,"Sustainablility, Ofc of",2000,Orig State/Tuition Bdgt(000) ,174,176,164,215,,,,,,,,
FY2013,1A1-NA-NA1-508,"Sustainablility, Ofc of",2015,  St Budget - Constant $000 ,74,77,74,99,,,,,,,,
FY2013,1A1-NA-NA1-508,"Sustainablility, Ofc of",2050,    Acad Salary Budget ,113,112,126,178,,,,,,,,
FY2013,1A1-NA-NA1-508,"Sustainablility, Ofc of",2060,    Asst Salary Budget ,0,0,0,0,,,,,,,,
FY2013,1A1-NA-NA1-508,"Sustainablility, Ofc of",2070,    Non-Ac Salaries Budget ,24,23,23,23,,,,,,,,
FY2013,1A1-NA-NA1-508,"Sustainablility, Ofc of",2080,    Wage Budget ,5,5,5,5,,,,,,,,
FY2013,1A1-NA-NA1-508,"Sustainablility, Ofc of",2090,    Summer Wages Budget ,0,0,0,0,,,,,,,,
FY2013,1A1-NA-NA1-508,"Sustainablility, Ofc of",2100,    Expense & Equip Bdgt ,32,36,9,9,,,,,,,,
FY2013,1A1-NA-NA1-508,"Sustainablility, Ofc of",2530,  State/Tuition Exp   (000) ,,158,376,459,226,,,,,,,
FY2013,1A1-NA-NA1-508,"Sustainablility, Ofc of",2533,    State/TuitExp - NACUBO ,,,,,,,,,,,,
FY2013,1A1-NA-NA1-508,"Sustainablility, Ofc of",2534,      Instruction     (000) ,,0,0,0,0,0,0,0,0,,,
FY2013,1A1-NA-NA1-508,"Sustainablility, Ofc of",2535,      Research        (000) ,,0,0,12,29,0,0,0,0,,,
FY2013,1A1-NA-NA1-508,"Sustainablility, Ofc of",2536,      Public Service  (000) ,,158,376,447,197,0,0,0,0,,,
FY2013,1A1-NA-NA1-508,"Sustainablility, Ofc of",2537,      Academic Support(000) ,,0,0,0,0,0,0,0,0,,,
FY2013,1A1-NA-NA1-508,"Sustainablility, Ofc of",2538,      Student Svcs    (000) ,,0,0,0,0,0,0,0,0,,,
FY2013,1A1-NA-NA1-508,"Sustainablility, Ofc of",2539,      Institutl Supprt(000) ,,0,0,0,0,0,0,0,0,,,
FY2013,1A1-NA-NA1-508,"Sustainablility, Ofc of",2540,      O&M of Plant    (000) ,,0,0,0,0,0,0,0,0,,,
FY2013,1A1-NA-NA1-508,"Sustainablility, Ofc of",2541,      Schol&Fellwshps (000) ,,0,0,0,0,0,0,0,0,,,
FY2013,1A1-NA-NA1-508,"Sustainablility, Ofc of",2542,      Other NACUBOs   (000) ,,0,0,0,0,0,0,0,0,,,
FY2013,1A1-NA-NA1-508,"Sustainablility, Ofc of",2550,  Institutional Exp   (000) ,,9,84,118,65,,,,,,,
FY2013,1A1-NA-NA1-508,"Sustainablility, Ofc of",2553,    ICR Direct Exp    (000) ,,9,84,107,65,,,,,,,
FY2013,1A1-NA-NA1-508,"Sustainablility, Ofc of",2554,    Royalty/Patent Exp(000) ,,0,0,0,0,,,,,,,
FY2013,1A1-NA-NA1-508,"Sustainablility, Ofc of",2555,    Educ/Admn Allw Exp(000) ,,0,0,11,0,,,,,,,
FY2013,1A1-NA-NA1-508,"Sustainablility, Ofc of",2570,  Grants & Contr Exp  (000) ,,0,42,273,91,,,,,,,
FY2013,1A1-NA-NA1-508,"Sustainablility, Ofc of",2573,    G&C Federal Exp   (000) ,,0,0,0,0,,,,,,,
FY2013,1A1-NA-NA1-508,"Sustainablility, Ofc of",2574,    G&C Illinois Exp  (000) ,,0,7,270,91,,,,,,,
FY2013,1A1-NA-NA1-508,"Sustainablility, Ofc of",2575,    G&C Pvt & Othr Exp(000) ,,0,35,2,0,,,,,,,
FY2013,1A1-NA-NA1-508,"Sustainablility, Ofc of",2590,  Gifts & Endwmnt Exp (000) ,,-3,8,1,2,,,,,,,
FY2013,1A1-NA-NA1-508,"Sustainablility, Ofc of",2594,    Gifts Exp         (000) ,,-3,8,1,2,,,,,,,
FY2013,1A1-NA-NA1-508,"Sustainablility, Ofc of",2596,    Endowment Exp     (000) ,,0,0,0,0,,,,,,,
FY2013,1A1-NA-NA1-508,"Sustainablility, Ofc of",2610,  SelfS/FWS/LandGr Exp(000) ,,0,21,18,1,,,,,,,
FY2013,1A1-NA-NA1-508,"Sustainablility, Ofc of",2614,    Self-Supportng Exp(000) ,,0,21,18,1,,,,,,,
FY2013,1A1-NA-NA1-508,"Sustainablility, Ofc of",2616,    Fed Work Study Exp(000) ,,0,0,0,0,,,,,,,
